eventStart,eventLabel,eventMedia,eventMediaCaption,rijksmonumentnummer,rijksmonument,item
1959,532251 Woonhuis Van den Doel,http://commons.wikimedia.org/wiki/Special:FilePath/Monnickendammerrijweg%2031C%2C%20Ilpendam%2001.jpg,"
        <ul>
        <li>Verbouwingsjaar: 1959</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q18813380"" target=""_blank"">http://www.wikidata.org/entity/Q18813380</a></li>
  </ul>",532251,,http://www.wikidata.org/entity/Q18813380
1954,516159 Woonhuis,http://commons.wikimedia.org/wiki/Special:FilePath/RM516159%20Kinderdijk.jpg,"
        <ul>
        <li>Verbouwingsjaar: 1954</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q17591193"" target=""_blank"">http://www.wikidata.org/entity/Q17591193</a></li>
  </ul>",516159,,http://www.wikidata.org/entity/Q17591193
1960,532131 Kantoor van Schrale's Beton,http://commons.wikimedia.org/wiki/Special:FilePath/Econ-10-kantoor-zwolle.jpg,"
        <ul>
        <li>Verbouwingsjaar: 1960</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q14942050"" target=""_blank"">http://www.wikidata.org/entity/Q14942050</a></li>
  </ul>",532131,,http://www.wikidata.org/entity/Q14942050
1929,517567 In 't Groen / De Kleine Weise,,"
        <ul>
        <li>Verbouwingsjaar: 1929</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q17594304"" target=""_blank"">http://www.wikidata.org/entity/Q17594304</a></li>
  </ul>",517567,,http://www.wikidata.org/entity/Q17594304
1956,530922 Huis Visser (Bergeijk),http://commons.wikimedia.org/wiki/Special:FilePath/Overzicht%20-%20Bergeijk%20-%2020396824%20-%20RCE.jpg,"
        <ul>
        <li>Verbouwingsjaar: 1956</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q15132490"" target=""_blank"">http://www.wikidata.org/entity/Q15132490</a></li>
  </ul>",530922,,http://www.wikidata.org/entity/Q15132490
1940," zomerhuis Lanjouw",,"
        <ul>
        <li>Verbouwingsjaar: 1940</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q123262902"" target=""_blank"">http://www.wikidata.org/entity/Q123262902</a></li>
  </ul>",,,http://www.wikidata.org/entity/Q123262902
1963,532208 Academie voor Beeldende Kunst,http://commons.wikimedia.org/wiki/Special:FilePath/Arnhem%20ArtEZ%20Hogeschool%20voor%20de%20Kunsten%20in%20spring%2C%20with%20right%20the%20underground%20pavilion%20-%20panoramio.jpg,"
        <ul>
        <li>Verbouwingsjaar: 1963</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q18813845"" target=""_blank"">http://www.wikidata.org/entity/Q18813845</a></li>
  </ul>",532208,,http://www.wikidata.org/entity/Q18813845
1906,"519617 Slot Zuylen, poortgebouw",http://commons.wikimedia.org/wiki/Special:FilePath/Rijksmonument519617.JPG,"
        <ul>
        <li>Verbouwingsjaar: 1906</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q17596176"" target=""_blank"">http://www.wikidata.org/entity/Q17596176</a></li>
  </ul>",519617,,http://www.wikidata.org/entity/Q17596176
1951," Rietveld vakantiehuisje",http://commons.wikimedia.org/wiki/Special:FilePath/WLANL%20-%20Jorg%20--%20-%20Vakantiehuisje%20Rietveld%2C%20Camping%20Hessenheem%2C%20Markelo%2C%201951.jpg,"
        <ul>
        <li>Verbouwingsjaar: 1951</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q1847482"" target=""_blank"">http://www.wikidata.org/entity/Q1847482</a></li>
  </ul>",,,http://www.wikidata.org/entity/Q1847482
1973," Rietveldgebouw",http://commons.wikimedia.org/wiki/Special:FilePath/Van%20Gogh%20Museum%20-%20panoramio%20%281%29.jpg,"
        <ul>
        <li>Verbouwingsjaar: 1973</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q42296997"" target=""_blank"">http://www.wikidata.org/entity/Q42296997</a></li>
  </ul>",,,http://www.wikidata.org/entity/Q42296997
1940,451863 De Braamakker,,"
        <ul>
        <li>Verbouwingsjaar: 1940</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q17453329"" target=""_blank"">http://www.wikidata.org/entity/Q17453329</a></li>
  </ul>",451863,,http://www.wikidata.org/entity/Q17453329
1966," Aula Begraafplaats Haarlemmermeer",http://commons.wikimedia.org/wiki/Special:FilePath/Aula%20van%20Rietveld.jpg,"
        <ul>
        <li>Verbouwingsjaar: 1966</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q50924689"" target=""_blank"">http://www.wikidata.org/entity/Q50924689</a></li>
  </ul>",,,http://www.wikidata.org/entity/Q50924689
1953," Jaarbeurs Utrecht",http://commons.wikimedia.org/wiki/Special:FilePath/Ingang%20Oost%20jaarbeurs%20Utrecht.jpg,"
        <ul>
        <li>Verbouwingsjaar: 1953</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q2692856"" target=""_blank"">http://www.wikidata.org/entity/Q2692856</a></li>
  </ul>",,,http://www.wikidata.org/entity/Q2692856
1919,514238 Woonhuis,http://commons.wikimedia.org/wiki/Special:FilePath/Oudkerkhof%2027.JPG,"
        <ul>
        <li>Verbouwingsjaar: 1919</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q17466277"" target=""_blank"">http://www.wikidata.org/entity/Q17466277</a></li>
  </ul>",514238,,http://www.wikidata.org/entity/Q17466277
1934,335152 Huis Mees,http://commons.wikimedia.org/wiki/Special:FilePath/Huis%20Mees%20-%20Van%20Ouwenlaan%2042%2C%20The%20Hague.JPG,"
        <ul>
        <li>Verbouwingsjaar: 1934</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q17440530"" target=""_blank"">http://www.wikidata.org/entity/Q17440530</a></li>
  </ul>",335152,,http://www.wikidata.org/entity/Q17440530
1932,"46554 In baksteen opgetrokken, witgepleisterd, vrijstaande, vlak gedekt woonhuis",http://commons.wikimedia.org/wiki/Special:FilePath/Montenspark%206.jpg,"
        <ul>
        <li>Verbouwingsjaar: 1932</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q17454937"" target=""_blank"">http://www.wikidata.org/entity/Q17454937</a></li>
  </ul>",46554,,http://www.wikidata.org/entity/Q17454937
1967," Gerrit Rietveld Academie",http://commons.wikimedia.org/wiki/Special:FilePath/Rietveldacademie.jpg,"
        <ul>
        <li>Verbouwingsjaar: 1967</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q1514799"" target=""_blank"">http://www.wikidata.org/entity/Q1514799</a></li>
  </ul>",,,http://www.wikidata.org/entity/Q1514799
1965," De Hoeksteen",http://commons.wikimedia.org/wiki/Special:FilePath/0451-U01-Arienslaan1-voor-rechterkant.JPG,"
        <ul>
        <li>Verbouwingsjaar: 1965</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q47260921"" target=""_blank"">http://www.wikidata.org/entity/Q47260921</a></li>
  </ul>",,,http://www.wikidata.org/entity/Q47260921
1953," Rietveldpaviljoen",http://commons.wikimedia.org/wiki/Special:FilePath/Pavillon%20national%20des%20Pays-Bas%20%28Biennale%20darchitecture%2C%20Venise%29%20%288132714428%29.jpg,"
        <ul>
        <li>Verbouwingsjaar: 1953</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q63769545"" target=""_blank"">http://www.wikidata.org/entity/Q63769545</a></li>
  </ul>",,,http://www.wikidata.org/entity/Q63769545
1951," Rietveld vakantiehuisje",http://commons.wikimedia.org/wiki/Special:FilePath/090823090823vakantiehuisje4.jpg,"
        <ul>
        <li>Verbouwingsjaar: 1951</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q58674400"" target=""_blank"">http://www.wikidata.org/entity/Q58674400</a></li>
  </ul>",,,http://www.wikidata.org/entity/Q58674400
1924," Gerrit Rietveld Academie",http://commons.wikimedia.org/wiki/Special:FilePath/Rietveldacademie.jpg,"
        <ul>
        <li>Verbouwingsjaar: 1924</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q1514799"" target=""_blank"">http://www.wikidata.org/entity/Q1514799</a></li>
  </ul>",,,http://www.wikidata.org/entity/Q1514799
1967," Van der Boechorststraat 26",http://commons.wikimedia.org/wiki/Special:FilePath/Amsterdam%2C%20Van%20der%20Boechorststraat%2026%20%281%29.jpg,"
        <ul>
        <li>Verbouwingsjaar: 1967</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q47232310"" target=""_blank"">http://www.wikidata.org/entity/Q47232310</a></li>
  </ul>",,,http://www.wikidata.org/entity/Q47232310
1963,532131 Kantoor van Schrale's Beton,http://commons.wikimedia.org/wiki/Special:FilePath/Econ-10-kantoor-zwolle.jpg,"
        <ul>
        <li>Verbouwingsjaar: 1963</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q14942050"" target=""_blank"">http://www.wikidata.org/entity/Q14942050</a></li>
  </ul>",532131,,http://www.wikidata.org/entity/Q14942050
1952,530873 Atelierwoning Slegers,http://commons.wikimedia.org/wiki/Special:FilePath/Overzicht%20van%20de%20voorgevel%20en%20rechter%20zijgevel%2C%20met%20kunstwerk%20op%20de%20voorgrond%20-%20Velp%20-%2020423133%20-%20RCE.jpg,"
        <ul>
        <li>Verbouwingsjaar: 1952</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q18813898"" target=""_blank"">http://www.wikidata.org/entity/Q18813898</a></li>
  </ul>",530873,,http://www.wikidata.org/entity/Q18813898
1939,508757 Villa Hoog Zand,http://commons.wikimedia.org/wiki/Special:FilePath/Doorn%20-%20Villa%20Hoog%20Zand%20RM508757.jpg,"
        <ul>
        <li>Verbouwingsjaar: 1939</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q17459632"" target=""_blank"">http://www.wikidata.org/entity/Q17459632</a></li>
  </ul>",508757,,http://www.wikidata.org/entity/Q17459632
1954,527848 Gebouw van de Rijksacademie voor Beeldende Kunsten,http://commons.wikimedia.org/wiki/Special:FilePath/Interieur%2C%20detail%20gebrandschilderd%20glas-in-loodraam%20-%20Amsterdam%20-%2020367393%20-%20RCE.jpg,"
        <ul>
        <li>Verbouwingsjaar: 1954</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q17292451"" target=""_blank"">http://www.wikidata.org/entity/Q17292451</a></li>
  </ul>",527848,,http://www.wikidata.org/entity/Q17292451
1931," Muziekschool Zeist",http://commons.wikimedia.org/wiki/Special:FilePath/Overzicht%20gevel%20van%20de%20muziekschool%2C%20ontworpen%20door%20G.%20Rietveld%20in%201932%20-%20Zeist%20-%2020428913%20-%20RCE.jpg,"
        <ul>
        <li>Verbouwingsjaar: 1931</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q123262850"" target=""_blank"">http://www.wikidata.org/entity/Q123262850</a></li>
  </ul>",,,http://www.wikidata.org/entity/Q123262850
1929,526817 Villa Johanna,http://commons.wikimedia.org/wiki/Special:FilePath/Johanna.Nieuwegein.jpg,"
        <ul>
        <li>Verbouwingsjaar: 1929</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q2273004"" target=""_blank"">http://www.wikidata.org/entity/Q2273004</a></li>
  </ul>",526817,,http://www.wikidata.org/entity/Q2273004
1958,531183 complex Weverij De Ploeg,http://commons.wikimedia.org/wiki/Special:FilePath/Overzicht%20van%20het%20fabriekscomplex%20met%20gebogen%20sheddaken-constructie%20-%20Bergeijk%20-%2020396798%20-%20RCE.jpg,"
        <ul>
        <li>Verbouwingsjaar: 1958</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q18775919"" target=""_blank"">http://www.wikidata.org/entity/Q18775919</a></li>
  </ul>",531183,,http://www.wikidata.org/entity/Q18775919
1931," Rietveldwoningen aan de Erasmuslaan",http://commons.wikimedia.org/wiki/Special:FilePath/Appartentenblok%20naast%20Rietveld-Schroderhuis.jpg,"
        <ul>
        <li>Verbouwingsjaar: 1931</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q28163099"" target=""_blank"">http://www.wikidata.org/entity/Q28163099</a></li>
  </ul>",,,http://www.wikidata.org/entity/Q28163099
1928,46957 Vrijstaande garage,http://commons.wikimedia.org/wiki/Special:FilePath/Rechter%20zij-%20en%20voorgevel%20-%20Utrecht%20-%2020237162%20-%20RCE.jpg,"
        <ul>
        <li>Verbouwingsjaar: 1928</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q17455644"" target=""_blank"">http://www.wikidata.org/entity/Q17455644</a></li>
  </ul>",46957,,http://www.wikidata.org/entity/Q17455644
1924,18329 Rietveld Schröderhuis,http://commons.wikimedia.org/wiki/Special:FilePath/Rietveld%20Schr%C3%B6derhuis%20HayKranen-20.JPG,"
        <ul>
        <li>Verbouwingsjaar: 1924</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q914231"" target=""_blank"">http://www.wikidata.org/entity/Q914231</a></li>
  </ul>",18329,,http://www.wikidata.org/entity/Q914231
1939,510001 Zomerhuis volgens de principes van het Nieuwe Bouwen voor de familie van dr. J.C. Brandt Corstius,http://commons.wikimedia.org/wiki/Special:FilePath/Korfwaterweg%209%20Petten%201981.jpg,"
        <ul>
        <li>Verbouwingsjaar: 1939</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q17460484"" target=""_blank"">http://www.wikidata.org/entity/Q17460484</a></li>
  </ul>",510001,,http://www.wikidata.org/entity/Q17460484
1934,514419 Blok van oorspronkelijk vier woningen,http://commons.wikimedia.org/wiki/Special:FilePath/Utrecht%20-%20Erasmuslaan%203A%20-%20Foto%202.jpg,"
        <ul>
        <li>Verbouwingsjaar: 1934</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q17440834"" target=""_blank"">http://www.wikidata.org/entity/Q17440834</a></li>
  </ul>",514419,,http://www.wikidata.org/entity/Q17440834
1932,46956 Blok van vier woningen,http://commons.wikimedia.org/wiki/Special:FilePath/Utrecht%2C%20Robert%20Schumannstraat%2013%2C%2046956-2.JPG,"
        <ul>
        <li>Verbouwingsjaar: 1932</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q17455642"" target=""_blank"">http://www.wikidata.org/entity/Q17455642</a></li>
  </ul>",46956,,http://www.wikidata.org/entity/Q17455642
1973," Van Gogh Museum",http://commons.wikimedia.org/wiki/Special:FilePath/WLANL%20-%20Minke%20Wagenaar%20-%20Van%20Gogh%20Museum%20Amsterdam%20159.jpg,"
        <ul>
        <li>Verbouwingsjaar: 1973</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q224124"" target=""_blank"">http://www.wikidata.org/entity/Q224124</a></li>
  </ul>",,,http://www.wikidata.org/entity/Q224124
1953," Julianahal Jaarbeurs",,"
        <ul>
        <li>Verbouwingsjaar: 1953</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q123267605"" target=""_blank"">http://www.wikidata.org/entity/Q123267605</a></li>
  </ul>",,,http://www.wikidata.org/entity/Q123267605
1964,532196 Villa Van Slobbe,,"
        <ul>
        <li>Verbouwingsjaar: 1964</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q18813903"" target=""_blank"">http://www.wikidata.org/entity/Q18813903</a></li>
  </ul>",532196,,http://www.wikidata.org/entity/Q18813903
1930,46958 Blok van vier herenhuizen,http://commons.wikimedia.org/wiki/Special:FilePath/Utrecht%20-%20Erasmuslaan%205%20-%20Foto%204.jpg,"
        <ul>
        <li>Verbouwingsjaar: 1930</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q17455645"" target=""_blank"">http://www.wikidata.org/entity/Q17455645</a></li>
  </ul>",46958,,http://www.wikidata.org/entity/Q17455645
1954,18329 Rietveld Schröderhuis,http://commons.wikimedia.org/wiki/Special:FilePath/Rietveld%20Schr%C3%B6derhuis%20HayKranen-20.JPG,"
        <ul>
        <li>Verbouwingsjaar: 1954</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q914231"" target=""_blank"">http://www.wikidata.org/entity/Q914231</a></li>
  </ul>",18329,,http://www.wikidata.org/entity/Q914231
1935,332570 Villa Hildebrand,http://commons.wikimedia.org/wiki/Special:FilePath/Voorgevel%20-%20Blaricum%20-%2020035308%20-%20RCE.jpg,"
        <ul>
        <li>Verbouwingsjaar: 1935</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q2727254"" target=""_blank"">http://www.wikidata.org/entity/Q2727254</a></li>
  </ul>",332570,,http://www.wikidata.org/entity/Q2727254
1908," Bioscoop Vreeburg",http://commons.wikimedia.org/wiki/Special:FilePath/Bioscoop%20Vreeburg%20te%20Utrecht.JPG,"
        <ul>
        <li>Verbouwingsjaar: 1908</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q19832755"" target=""_blank"">http://www.wikidata.org/entity/Q19832755</a></li>
  </ul>",,,http://www.wikidata.org/entity/Q19832755
," Huis Van Daalen",http://commons.wikimedia.org/wiki/Special:FilePath/Overzicht%20-%20Bergeijk%20-%2020420423%20-%20RCE.jpg,"
        <ul>
        <li>Verbouwingsjaar: onbekend</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q124003629"" target=""_blank"">http://www.wikidata.org/entity/Q124003629</a></li>
  </ul>",,,http://www.wikidata.org/entity/Q124003629
1939," Woonhuis in Krimpen aan de Lek",http://commons.wikimedia.org/wiki/Special:FilePath/Krimpen%20aan%20de%20Lek%2011%20KRW%20GM%20Rijsdijk%2022%20Woning%2031032020.jpg,"
        <ul>
        <li>Verbouwingsjaar: 1939</li>
<li>Wikinummer: <a href=""http://www.wikidata.org/entity/Q123296225"" target=""_blank"">http://www.wikidata.org/entity/Q123296225</a></li>
  </ul>",,,http://www.wikidata.org/entity/Q123296225
